logFC	logCPM	LR	PValue	FDR
BASP1	1.59652601696713	5.48147570874849	8.39313438373014	0.00376640876814947	0.0125162406365118
BATF2	1.77076102262366	3.89363362991239	9.62207173819323	0.00192252736820452	0.00714791355212222
BATF	1.34604790833648	2.58248711972627	8.13540871602805	0.0043409061281412	0.0140548516418975
BAX	1.18322539370809	4.54687371569642	34.1776530343286	5.03033074941215e-09	8.79543696158774e-08
BAZ1A	1.0313611298385	7.16766196466425	22.3309607058599	2.294768765418e-06	2.19462134241855e-05
BBC3	1.30223884995161	3.61135105105178	16.0797786489312	6.07290525010473e-05	0.00038552025846708
BCAN	1.33154008537422	1.75280843131635	4.01514947505831	0.0450932260532531	0.0953136282403158
BCAS1	-1.7518910920618	5.59234454763377	7.85886821851801	0.00505720387606243	0.0159564125157479
BCAT1	1.42696563810712	5.89556131709445	5.91165991066083	0.0150409927127122	0.0389936242983686
BCHE	-2.13446153466235	2.91379864049899	11.5093061848087	0.000692486203415305	0.00301664908374027
BCKDHB	-1.53056284241406	4.30010833848976	57.9656788668607	2.66731105498976e-14	1.26994709078577e-12
BCL11A	1.25605342775115	4.96440892367877	5.83614826413941	0.015700159527723	0.0403666106272226
BCL11B	2.23157566238954	5.13934258521038	25.842194771641	3.70499863784183e-07	4.35518312348796e-06
BCL2A1	2.33755314375621	2.21935360320812	20.5417173735355	5.83456980092046e-06	4.95994642806572e-05
BCL2L12	1.45793068311855	4.17188218631904	40.7785925224285	1.70490560029068e-10	3.93138162464241e-09
BCL2L2	-1.1308213876481	5.70799006127384	45.9308283164683	1.2250292628849e-11	3.3709952855602e-10
BCMO1	1.7692043817841	1.68704904140918	5.11406263583163	0.0237326839580185	0.0567014088209988
BDH2	-1.15676311255701	3.75215831565348	34.1147793878175	5.19551542679342e-09	9.0128233537402e-08
BEGAIN	-1.36135525708739	1.7199977189572	13.4435659434598	0.000245847875697319	0.00126665725291153
BEND6	1.66622142522778	1.68031440370524	7.32887022419405	0.00678556922597693	0.0202739941930092
BEX4	-1.06804353978661	3.97165052970615	8.27270796215154	0.00402454356718924	0.0132115224839575
BGN	1.97185773828482	9.026441962388	16.5239513842548	4.80393935653404e-05	0.000313535213624678
BHLHA15	-4.11008150656489	1.04125447185641	104.184958850201	1.84284275814723e-24	4.04887844393139e-22
BHLHE41	1.25722181790924	5.62986574714227	6.83674672268504	0.00893013269285343	0.0254410754030581
BHMT2	-3.09860454652477	1.05210646851801	70.3284337019638	5.02087629298257e-17	3.90919521258337e-15
BICD1	1.30282601174945	3.86641632593435	16.8358621630599	4.07558044714184e-05	0.000272584046479885
BID	1.53313327527579	5.14862372935166	39.2164471042975	3.79331343915098e-10	8.20397004585005e-09
BIK	1.43772685074608	3.49302005370466	11.279949899301	0.000783486709278488	0.0033473951207263
BIRC5	3.13096776615841	4.78508719351865	62.157054384499	3.1712895431959e-15	1.84912724201502e-13
BIRC7	7.29722551610152	0.850989688368648	11.0854034046307	0.000870098924395321	0.00366305005193908
BLM	2.72217815255736	4.20493632888299	69.8845494386645	6.28790491496181e-17	4.75581196882483e-15
BMP1	1.11497439299368	6.28018805179253	13.9977712471949	0.000183027456243135	0.000984776996274041
BMP8A	1.50727166512008	4.25152136282347	15.6893479864259	7.46433603897654e-05	0.000459739189445758
BMP8B	1.04799732132151	3.40916724329667	7.90318195408418	0.00493479137074337	0.0156223148967135
BMPR1B	-1.88079006868892	2.45886749580814	15.9669996578367	6.44563300024593e-05	0.000405158501558733
